Compound,IntegratedPeakArea_initial,InitialMetabolite_mM,dt_hr,mM_to_peak_ratio,IntegratedPeakArea_final,FinalMetabolite_mM
3-OH_butyrate,72.82159353,2.0,24,0.02746438114096018,5.842195321666668,0.16045227901418782
DHPS,86.83854885,2.6666666666666665,42,0.03070832829407267,52.672474550000004,1.6174836405425876
DMSP,136.35786745000001,1.6,24,0.011733829737302774,0.18248925333333332,0.002141297827500846
GlcNac,10.196041444999999,1.0,25,0.09807727885319519,0.30373810433333337,0.02978980675704123
cadaverine,118.25594026499999,1.6,42,0.013529975715507878,19.79568534666667,0.2678351420122352
carnitine,116.7059292,1.1428571428571428,24,0.009792622797241246,66.41913225,0.6504175086443313
choline,277.82273084999997,1.6,25,0.005759068003920315,88.92331414333334,0.5121154132854259
citrate,85.910135935,1.3333333333333333,24,0.01552009339552366,0.318157583,0.0049378354026540705
cysteate,229.19511310000001,2.6666666666666665,42,0.011634919395088386,137.74931226666666,1.6027021449515264
ectoine,40.220830934999995,1.3333333333333333,24,0.033150317940673676,0.2815402776666666,0.009333149717755547
fumarate,61.928965840000004,2.0,24,0.032295065368396596,0.21382049199999997,0.006905346766242721
glucose,21.99679046,1.3333333333333333,42,0.060614903604138494,9.844327409666667,0.5967129569845234
glycerol,1.178758927,2.6666666666666665,24,2.262266359630858,0.089189507,0.20177042131816092
isethionate,110.79250685,4.0,42,0.03610352463109738,86.94568787666667,3.1390457838229398
malate,61.65318453,2.0,24,0.03243952466116028,0.4236256166666667,0.013742213638957565
putresceine,166.95618115000002,2.0,42,0.011979191104060538,3.243246649,0.038851471405974954
spermidine,164.98183095000002,1.1428571428571428,42,0.006927169714848789,9.282276423333334,0.06429990412456961
succinate,105.4679725,2.0,24,0.018963102756147134,0.3753247923333333,0.007117322603946583
taurine,83.75891981000001,4.0,25,0.04775610775632804,47.30044945666666,2.2588853611753215
thymidine,17.534400595,0.8,48,0.045624599236550066,12.171737900000002,0.5553306636998276
xylose,8.5051821555,1.6,48,0.1881206035035166,5.071829999666666,0.9541157204045335
