ID, Name
# pyruvate dehydrogenase
SPO2240, pdhA
SPO2241, pdhB
SPO2242, pdhC
SPO0340, lpdA

# DMSP cleavage
SPO0147, acuH

# Tryptophan synthase
SPO0815, trpA
SPO0808, trpB

# 3-isopropylmalate dehydratase
SPO1476, leuC-2
SPO1477, leuD-2
SPO0215, LeuD-1
SPO0216, leuC-1

# cobyrinic acid a, c-diamide synthase
SPO2872, cobB

# ureidoglycolate lyase
SPO0873, allA

# type I glyceraldehyde-3-phosphate dehydrogenase: gap
SPO2198, gap-3
SPO0875, gap-2
SPO0701, gap-1

# aldehyde dehydrogenase (NADP(+))
SPOA0243, RS21050
SPOA0260, RS21135

# glycerol-3-phosphate 1-O-acyltransferase 
SPO0283, plsY

# 1-acyl-sn-glycerol-3-phosphate acyltransferase
SPO1979, RS10045
SPO0369, RS01870

# phenylalanine/tyrosine ammonia-lyase
G-17792, PAL

# acyl-CoA thioesterase
SPO0435, G1RHL-291
SPO1958, G1RHL-1474	

# enoyl-CoA hydratase
SPOA0404, G1RHL-3262

# 3-hydroxyacyl-CoA dehydrogenase, type II
SPO2487, G1RHL-1876	

# UbiH/UbiF family hydroxylase	
SPO1371, RS06995

# 2-(octa/deca) prenyl-6-methoxyphenol hydroxylase,
SPO1371, G1RHL-999

# below are genes for the new lipid biosynthesis pathway. not all of these have locus tags, worth discussing proper notation in this case. Using NCBI region name otherwise.  

# bifunctional 3-hydroxydecanoyl-ACP dehydratase/trans-2-decenoyl-ACP isomerase WP_011242221.1
PRK05174, FabA

# beta-ketoacyl-ACP synthase II WP_011047991.1
PRK07314, FabF

# acyl-CoA thioesterase WP_011047689.1
TesB, COG1946

# acyl-CoA synthetase WP_011046428.1
PRK08162, PRK08162

# glycerol-3-phosphate 1-O-acyltransferase (E. Coli.)
EG10740, plsB

# 1-acylglycerol-3-phosphate O-acyltransferase (E. Coli.)
EG11833, yihG

# aminophospholipid-translocating P4-type ATPase (Saccharomyces cerevisiae)	
G3O-29698, DNF2

# L-ornithine N 3-hydroxy acyltransferase (Sinorhizobium meliloti 1021)
G-14520, olsB

# lyso-ornithine lipid O-acyltransferase (Sinorhizobium meliloti 1021)
G-14521, olsA

# glycine N-acyltransferase (Phocaeicola vulgatus)
G-58278, glsB

# phosphatidylethanolamine N-methyltransferase	
SPOA0294, SPOA0294

# amino acid exporter YddG (E. Coli.)
EG12713, yddG

# aminophospholipid-translocating P4-type ATPase (Saccharomyces cerevisiae)
G3O-29698, DNF2 

# Ligand-Effect Modulator (Saccharomyces cerevisiae)
G3O-33308, LEM3

# outer membrane phospholipase A (E. Coli.)
EG10738, pldA 

# lysophospholipid transporter (E. Coli.)
EG12455, lplT
